COD_ORGAO, SGL_ORGAO, MES, ANO, COD_UNIDADE_GOV, SGL_UNIDADE_GOV, COD_FONTE_RECURSO, NOM_FONTE_RECURSO, COD_NATUREZA, VL_ARRECADADA 
"32201","ADEMA","1","2015","322011","ADEMA          ","270000000","Recursos Diretamente Arrecadados","16001400","332038.96"
"32201","ADEMA","1","2015","322011","ADEMA          ","270000000","Recursos Diretamente Arrecadados","19199900","12211.12"
"32201","ADEMA","1","2015","322011","ADEMA          ","270000000","Recursos Diretamente Arrecadados","13250299","30.11"
"01000","ALESE","1","2015","011011","ALESE          ","101000000","Tesouro - Recursos Ordinários","19229900","9232.73"
"23000","CBM/SE","1","2015","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","13250199","7824.64"
"23000","CBM/SE","1","2015","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","19191500","343247.91"
"23000","CBM/SE","1","2015","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","16009902","6690.54"
"23000","CBM/SE","1","2015","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","16001400","67506.84"
"23000","CBM/SE","1","2015","231011","CBM            ","224000259","Convênio AEROPORTUÁRIA - 0008-CI/2011-0016","13250199","48089.65"
"23000","CBM/SE","1","2015","231011","CBM            ","270000000","Recursos Diretamente Arrecadados","16001303","238861.46"
"26301","CEHOP","1","2015","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","13250299","1825.43"
"26301","CEHOP","1","2015","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","22290000","44139.16"
"26301","CEHOP","1","2015","263011","CEHOP          ","293000000","Alienação de Bens","22290000","400"
"26301","CEHOP","1","2015","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","16001399","2617.42"
"26301","CEHOP","1","2015","263011","CEHOP          ","270000000","Recursos Diretamente Arrecadados","13190000","158443.63"
"19301","CODISE","1","2015","193011","CODISE         ","270000000","Recursos Diretamente Arrecadados","13110000","131459.08"
"19301","CODISE","1","2015","193011","CODISE         ","270000000","Recursos Diretamente Arrecadados","13250299","37670.74"
"19301","CODISE","1","2015","193011","CODISE         ","270000000","Recursos Diretamente Arrecadados","12102907","80.64"
"19301","CODISE","1","2015","193011","CODISE         ","293000000","Alienação de Bens","22290000","598896.46"
"22201","DETRAN","1","2015","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","19191500","1324840.13"
"22201","DETRAN","1","2015","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","16001305","1838702.6"
"22201","DETRAN","1","2015","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","16001399","1116862.14"
"22201","DETRAN","1","2015","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","16009902","744934.99"
"22201","DETRAN","1","2015","222011","DETRAN         ","270000000","Recursos Diretamente Arrecadados","16001400","1270804.36"
"28000","DPE","1","2015","281011","DPE            ","101000325","Contrapartida do Convênio PROJETO IMPLANTAÇÃO DO NÚCLEO DE ATENDIME - 038/2012","13250199","29.71"
"28000","DPE","1","2015","281011","DPE            ","224000327","Convênio ESTRUTURAÇÃO E FORTALECIMENTO DO NÚCLEO E - 00004.002651/2012-46","13250199","192"
"28000","DPE","1","2015","281011","DPE            ","224000326","Convênio AMPLIAÇÃO DE CONSOLIDAÇÃO DA REDE DE SERV - 0036.000761/2012-04","13250199","39.73"
"28000","DPE","1","2015","281011","DPE            ","270000000","Recursos Diretamente Arrecadados","19900202","5669.59"
"28000","DPE","1","2015","284011","FUNDEPES       ","270000000","Recursos Diretamente Arrecadados","19900202","11176.32"
"28000","DPE","1","2015","284011","FUNDEPES       ","270000000","Recursos Diretamente Arrecadados","13250299","3317.63"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","270000000","Recursos Diretamente Arrecadados","13250299","131.3"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000101","Convênio PRODUÇÃO DE SEMENTES FEIJÃO EM FERRO E ZI - 069/2009","13250199","135.2"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","120000280","Contrapartida do Convênio FOTOCADASTRAR IMOVEIS RURAIS/MDA - 764137/2011","13250199","1285.38"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","120000188","Contrapartida do Convênio INCRA/FUNDIARIA/EMDAGRO -","13250199","1558.39"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","120000027","Contrapartida do Convênio MDA/ATER/SAF/EMDAGRO - 701391/2008","13250199","74.31"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000281","Convênio FOTOCADASTRAR IMOVEIS RURAIS/MDA - 764131/2011","13250199","867.53"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000280","Convênio FOTOCADASTRAR IMOVEIS RURAIS/MDA - 764137/2011","13250199","5466.53"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000188","Convênio INCRA/FUNDIARIA/EMDAGRO -","13250199","14025.51"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000181","Convênio EMBRAPA/PAC/EMDAGRO - 10200.10/0261-3","13250199","3618.35"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000178","Convênio EMBRAPA/OEPAS/PAC/EMDAGRO - 724370/2009","13250199","1683.7"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","270000000","Recursos Diretamente Arrecadados","16001700","76863.02"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","270000000","Recursos Diretamente Arrecadados","13110000","250"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","270000000","Recursos Diretamente Arrecadados","19220700","6702.28"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224005032","Convênio ESTRUTURAÇÃO DAS UNIDADES OPERATIVAS - 797215/2013","13250199","7004.95"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224005043","Convênio UNIDADE MÓVEL DE CADASTRO E REGULARIZAÇÃO - 781036/2012","13250199","2358.09"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000027","Convênio MDA/ATER/SAF/EMDAGRO - 701391/2008","13250199","3895.42"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","120000281","Contrapartida do Convênio FOTOCADASTRAR IMOVEIS RURAIS/MDA - 764131/2011","13250199","188.65"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000102","Convênio BNB/EMDAGRO PRODUÇÃO DE MANIVAS - SEMENTE - 141/2009","13250199","9.15"
"17301","EMDAGRO","1","2015","173011","EMDAGRO        ","224000106","Convênio MDA/ATER/PACTO FEDERATIVO/EMDAGRO - 723261/2009","13250199","14167.87"
